Festival.name;Festival.month;Festival.isFamous;Festival.website;Festival.city_id;Festival.department_id;Festival.region_id
AVEC LE TEMPS;;;www.festival-avecletemps.com;MARSEILLE;Bouches-du-Rhône;Provence-Alpes-Côte-d'Azur
BATIGNOLLES LIVE FESTIVAL;;;www.spectaclesevenements.com;PARIS;Paris;Ile-de-France
BIENNALE MUSIQUES EN SCÈNE;;;www.grame.fr;LYON;Rhône;Rhône-Alpes
Les BISTROTS DE L'ÉTÉ;;;www.mjcaa-poitiers.fr;POITIERS;Vienne;Poitou-Charentes
BRETAGNE EN SCÈNE(S);;;www.bretagneenscenes.com;LANESTER;Morbihan;Bretagne
CAEN SOIRS D'ÉTÉ;;;www.caen.fr;CAEN;Calvados;Basse-Normandie
CAFÉ DE LA MARINE;;;www.trianontransatlantique.com;SOTTEVILLE LES ROUEN;Seine-Maritime;Haute-Normandie
CHANGEZ D'AIR;;;changezdair.blogspot.com;ST GENIS LES OLLIERES;Rhône;Rhône-Alpes
CHANT'APPART;;;chantappart.free.fr;VAIRE;Vendée;Pays de la Loire
Les CHANTS DE MARS;;;www.leschantsdemars.com;LYON;Rhône;Rhône-Alpes
CHORUS DES HAUTS-DE-SEINE;;;www.chorus92.fr;NANTERRE;Hauts-de-Seine;Ile-de-France
DAYS OFF;;;www.daysoff.fr;PARIS;Paris;Ile-de-France
La DÉFERLANTE;;;www.ladeferlante.com;ST HILAIRE DE RIEZ;Vendée;Pays de la Loire
DÉFI'STIVAL;;;www.assodefi.hautetfort.com;ORLEANS;Loiret;Centre
DES LYRES D'ÉTÉ;;;www.ville-blois.fr;BLOIS;Loir-et-Cher;Centre
DÉSIN'VOLT;;;www.studios-smom.fr;PARIS;Paris;Ile-de-France
DÉTOURS DE CHANT !;;;www.detoursdechant.com;L'UNION;Haute-Garonne;Midi-Pyrénées
Les EMBELLIES;;;www.festival-lesembellies.com;RENNES;Ille-et-Vilaine;Bretagne
EPINAL BOUGE L'ÉTÉ;;;www.epinal.fr;EPINAL;Vosges;Lorraine
ESTIV'ALÈS;;;estivales.ville-ales.fr;ALES;Gard;Languedoc-Roussillon
